%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134045390647287,297,1562884227040919488,fcu,98579.99877929688,0.0
1648134045407859572,298,1562884227057919488,fcu,98579.99877929688,0.0
1648134045430196648,299,1562884227080919488,fcu,98579.99877929688,0.0
1648134045450870775,300,1562884227099919488,fcu,98579.99877929688,0.0
1648134045468667275,301,1562884227117919488,fcu,98579.99877929688,0.0
1648134045484444511,302,1562884227135263040,fcu,98579.99877929688,0.0
1648134045510010920,303,1562884227160263040,fcu,98550.0,0.0
1648134045525173241,304,1562884227175263040,fcu,98550.0,0.0
1648134045550565767,305,1562884227201263040,fcu,98550.0,0.0
1648134045570394277,306,1562884227221263040,fcu,98550.0,0.0
1648134045588372980,307,1562884227239364928,fcu,98550.0,0.0
1648134045609989003,308,1562884227261364928,fcu,98559.99755859375,0.0
1648134045628762922,309,1562884227278364928,fcu,98559.99755859375,0.0
1648134045648045999,310,1562884227298364928,fcu,98559.99755859375,0.0
1648134045668992571,311,1562884227321364928,fcu,98559.99755859375,0.0
1648134045689815347,312,1562884227341310144,fcu,98619.9951171875,0.0
1648134045707134879,313,1562884227358310144,fcu,98619.9951171875,0.0
1648134045728202647,314,1562884227378310144,fcu,98619.9951171875,0.0
1648134045749026182,315,1562884227400310144,fcu,98619.9951171875,0.0
1648134045765140442,316,1562884227415310144,fcu,98619.9951171875,0.0
1648134045784804006,317,1562884227435072064,fcu,98619.9951171875,0.0
1648134045808123088,318,1562884227458072064,fcu,98609.99755859375,0.0
1648134045825615996,319,1562884227475072064,fcu,98609.99755859375,0.0
1648134045850114499,320,1562884227501072064,fcu,98609.99755859375,0.0
1648134045867379456,321,1562884227518072064,fcu,98609.99755859375,0.0
1648134045891019095,322,1562884227541085632,fcu,98550.0,0.0
1648134045904863856,323,1562884227555085632,fcu,98550.0,0.0
1648134045929102679,324,1562884227581085632,fcu,98550.0,0.0
1648134045948683944,325,1562884227600085632,fcu,98550.0,0.0
1648134045967558711,326,1562884227618085632,fcu,98550.0,0.0
1648134045984862237,327,1562884227635235904,fcu,98550.0,0.0
1648134046008335569,328,1562884227658235904,fcu,98569.9951171875,0.0
1648134046030594812,329,1562884227681235904,fcu,98569.9951171875,0.0
1648134046047807742,330,1562884227698235904,fcu,98569.9951171875,0.0
1648134046067720295,331,1562884227718235904,fcu,98569.9951171875,0.0
1648134046084918570,332,1562884227735477312,fcu,98569.9951171875,0.0
1648134046109059728,333,1562884227761477312,fcu,98569.9951171875,0.0
1648134046130156941,334,1562884227780477312,fcu,98569.9951171875,0.0
1648134046147496030,335,1562884227798477312,fcu,98569.9951171875,0.0
1648134046168548013,336,1562884227818477312,fcu,98569.9951171875,0.0
1648134046190606219,337,1562884227841504192,fcu,98539.99633789062,0.0
1648134046204426529,338,1562884227855504192,fcu,98539.99633789062,0.0
1648134046227836265,339,1562884227878504192,fcu,98539.99633789062,0.0
1648134046245239431,340,1562884227895504192,fcu,98539.99633789062,0.0
1648134046269503340,341,1562884227920504192,fcu,98539.99633789062,0.0
1648134046291847858,342,1562884227942494464,fcu,98569.9951171875,0.0
1648134046308988029,343,1562884227961494464,fcu,98569.9951171875,0.0
1648134046328962297,344,1562884227981494464,fcu,98569.9951171875,0.0
1648134046347475182,345,1562884227998494464,fcu,98569.9951171875,0.0
1648134046367471537,346,1562884228018494464,fcu,98569.9951171875,0.0
1648134046385221608,347,1562884228035045184,fcu,98569.9951171875,0.0
1648134046408615654,348,1562884228058045184,fcu,98589.99633789062,0.0
1648134046428772293,349,1562884228078045184,fcu,98589.99633789062,0.0
